	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	75.0388	 	0	0
DL	0.00311248	3	1	2	1	1	2	0	48	0	0	133.964	 	0	0
UL	0.00370832	3	7	1	1	1	1	0	48	0	0	75.0388 	0	0
UL	0.00371248	3	7	2	1	1	2	0	48	0	0	133.964 	0	0
DL	0.00420832	4	2	1	1	1	1	0	1776	28	0	75.0388	 	0	0
DL	0.00421248	4	2	2	1	1	2	0	1776	28	0	133.964	 	0	0
DL	0.0231125	23	1	1	2	1	1	0	100	0	0	75.0388	 	0	0
DL	0.0231208	23	1	3	2	1	2	0	100	0	0	133.964	 	0	0
UL	0.0237083	23	7	1	1	1	1	0	48	0	0	75.0388 	0	0
UL	0.0237125	23	7	2	1	1	2	0	48	0	0	133.964 	0	0
DL	0.0242083	24	2	1	1	1	1	0	1776	28	0	75.0388	 	0	0
DL	0.0242125	24	2	2	1	1	2	0	1776	28	0	133.964	 	0	0
UL	0.0248083	24	8	1	1	1	1	0	1776	28	0	75.0388 	0	0
UL	0.0248125	24	8	2	1	1	2	0	1776	28	0	133.964 	0	0
UL	0.0268083	26	8	1	1	1	1	0	1776	28	0	75.0388 	0	0
UL	0.0268125	26	8	2	1	1	2	0	1776	28	0	133.964 	0	0
DL	0.0273083	27	3	1	1	1	1	0	1776	28	0	75.0388	 	0	0
DL	0.0273125	27	3	2	1	1	2	0	1776	28	0	133.964	 	0	0
UL	0.300312	300	3	1	2	1	1	0	100	0	0	70.8776 	0	0
DL	0.300808	300	8	1	1	1	1	0	48	0	0	70.8776	 	0	0
DL	0.302808	302	8	1	1	1	1	0	1776	28	0	70.8776	 	0	0
UL	0.303408	303	4	1	1	1	1	0	1776	28	0	70.8776 	0	0
DL	0.303908	303	9	1	1	1	1	0	1776	28	0	70.8776	 	0	0
DL	0.305908	305	9	1	1	1	1	0	1776	28	0	70.8776	 	0	0
