	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00311248	3	1	1	2	1	1	0	9	0	0	-20.1739	 	1	0.999999
DL	0.0031208	3	1	3	2	1	2	0	9	0	0	9.23521	 	0	0
DL	0.00312496	3	1	5	1	1	3	0	3	0	0	8.51122	 	0	0
DL	0.00312912	3	1	6	1	1	4	0	3	0	0	8.43155	 	0	0
DL	0.00313328	3	1	7	1	1	5	0	3	0	0	40.5589	 	0	0
DL	0.00313744	3	1	8	1	1	6	0	3	0	0	5.74713	 	0	0
DL	0.0031416	3	1	9	1	1	7	0	3	0	0	-3.85746	 	0	0.108939
DL	0.00314576	3	1	10	1	1	8	0	3	0	0	8.5446	 	0	0
DL	0.00314992	3	1	11	1	1	9	0	3	0	0	1.60454	 	0	0
DL	0.00315408	3	1	12	1	1	10	0	3	0	0	4.13743	 	0	0
DL	0.00315824	3	1	13	1	1	11	0	3	0	0	10.7069	 	0	0
DL	0.0031624	3	1	14	1	1	12	0	3	0	0	38.8414	 	0	0
DL	0.00316656	3	1	15	1	1	13	0	3	0	0	16.7579	 	0	0
DL	0.00317072	3	1	16	1	1	14	0	3	0	0	9.15456	 	0	0
DL	0.00317488	3	1	17	1	1	15	0	3	0	0	9.53954	 	0	0
DL	0.00317904	3	1	18	1	1	16	0	3	0	0	4.01859	 	0	0
DL	0.0031832	3	1	19	1	1	17	0	3	0	0	25.8902	 	0	0
DL	0.00318736	3	1	20	1	1	18	0	3	0	0	8.14698	 	0	0
DL	0.00319152	3	1	21	1	1	19	0	3	0	0	-6.50596	 	1	0.874678
DL	0.00319568	3	1	22	1	1	20	0	3	0	0	23.8216	 	0	0
DL	0.00322496	3	2	1	5	1	1	0	29	0	0	-20.1779	 	1	1
DL	0.00324576	3	2	6	5	1	2	0	29	0	0	9.25486	 	0	0
DL	0.00360832	3	6	1	1	1	19	0	3	0	1	-6.70487	 	0	0.0195268
DL	0.00361664	3	6	2	2	1	1	0	9	0	1	-20.1961	 	1	0.999989
DL	0.00372496	3	7	1	5	1	1	0	29	0	1	-20.2009	 	1	1
UL	0.00382912	3	8	1	6	1	2	0	35	0	0	8.78725 	0	0
DL	0.00411248	4	1	1	2	1	1	0	9	0	2	-20.2228	 	1	0.999952
DL	0.00422496	4	2	1	5	1	1	0	29	0	2	-20.2287	 	1	1
DL	0.00431248	4	3	1	2	1	2	0	152	14	0	9.08393	 	0	0
DL	0.00461248	4	6	1	2	1	1	0	9	0	3	-20.2539	 	1	0.993004
DL	0.00472496	4	7	1	5	1	1	0	29	0	3	-20.2605	 	1	0.997325
UL	0.00490832	4	9	1	1	1	2	0	84	15	0	8.40206 	0	1.05247e-05
DL	0.00540832	5	4	1	1	1	2	0	94	16	0	8.484	 	1	0.948232
DL	0.00590832	5	9	1	1	1	2	0	94	16	1	8.26448	 	0	0
DL	0.0231374	23	1	1	8	1	2	0	48	0	0	8.84271	 	0	0
UL	0.0237125	23	7	1	2	2	2	1	35	0	0	-8.13918 	1	0.987539
UL	0.0237291	23	7	1	6	1	2	0	35	0	0	8.76049 	0	0
UL	0.0240125	24	0	1	2	2	2	1	35	0	1	-8.22613 	0	7.75888e-07
DL	0.0242125	24	2	1	2	1	2	0	116	12	0	8.55517	 	0	0
UL	0.0248083	24	8	1	1	1	2	0	84	15	0	8.85968 	0	0.00281898
UL	0.0268083	26	8	1	1	1	2	0	84	15	0	9.07883 	0	0.000990476
DL	0.0273083	27	3	1	1	1	2	0	74	14	0	9.32441	 	0	7.11659e-10
UL	0.0340125	34	0	1	2	2	2	1	35	0	0	-7.88108 	1	0.971088
UL	0.0343125	34	3	1	2	2	2	1	35	0	1	-7.83579 	0	5.3753e-09
